airline,route,ident,aircraft,fluctuation_pct,extra_fuel,extra_crew,baseline_air_time,baseline_fuel_cost,baseline_crew_cost,actual_air_time,current_fuel_cost,current_crew_cost,war_risk,extra_stop,delay_comp,update_time
"Air India",BOM-DXB,AIC4217,"Boeing 787-8 (twin-jet)",101.5,8844.01,751.91,2.24,9784.87,4594.09,2.7,18628.9,5346,5000,0,0,"2026-04-28 16:15:45"
"British Airways",SIN-LHR,BAW12,"BOEING 777-300ER (twin-jet)",49.7,51481.1,1548.83,12.92,77521.4,29195.2,13.63,129002,30744,0,0,0,"2026-04-28 16:15:07"
"British Airways",SIN-LHR,BAW16,"Boeing 787-9 Dreamliner (twin-jet)",-17.1,-4567.16,-8602.5,12.71,55624.1,21562.5,7.4,51056.9,12960,0,0,0,"2026-04-28 16:15:17"
Emirates,BKK-DXB,UAE371,"BOEING 777-300ER (twin-jet)",62.1,24363.2,963.66,5.82,34933.8,13868.3,6.27,59297,14832,5000,0,0,"2026-04-28 16:14:28"
Emirates,BKK-DXB,UAE373,"Airbus A380-800 (quad-jet)",75,44743.8,2696.03,5.4,52638.9,17272,6.33,97382.7,19968,5000,0,0,"2026-04-28 16:14:37"
Emirates,BKK-DXB,UAE375,"Airbus A380-800 (quad-jet)",72.4,43206.2,2408.03,5.4,52638.9,17272,6.23,95845.1,19680,5000,0,0,"2026-04-28 16:14:23"
Emirates,BKK-DXB,UAE385,"Airbus A380-800 (quad-jet)",-14.2,-7791.62,-7143.97,5.4,52638.9,17272,2.92,44847.3,10128,5000,0,0,"2026-04-28 16:14:33"
Emirates,BOM-DXB,UAE501,"Airbus A380-800 (quad-jet)",108.3,23661.5,2199.32,2.12,20673.2,7832.68,2.88,44334.8,10032,5000,0,0,"2026-04-28 16:15:26"
Emirates,BOM-DXB,UAE503,"Airbus A350-900 (twin-jet)",91.5,9221.91,798.64,2.26,10754,5669.36,2.67,19975.9,6468,5000,0,0,"2026-04-28 16:15:37"
Emirates,BOM-DXB,UAE505,"BOEING 777-300ER (twin-jet)",79.1,10251.3,534.39,2.29,13719.8,6233.61,2.53,23971.1,6768,5000,0,0,"2026-04-28 16:15:22"
Emirates,BOM-DXB,UAE507,"BOEING 777-300ER (twin-jet)",99.5,13563.1,1290.39,2.29,13719.8,6233.61,2.88,27282.9,7524,5000,0,0,"2026-04-28 16:15:41"
Emirates,BOM-DXB,UAE509,"BOEING 777-300ER (twin-jet)",90.8,12143.8,966.39,2.29,13719.8,6233.61,2.73,25863.6,7200,5000,0,0,"2026-04-28 16:15:31"
Emirates,HKG-DXB,UAE381,"Airbus A380-800 (quad-jet)",78.9,57409.7,3890.08,6.52,63549.9,20493.9,7.87,120960,24384,5000,0,0,"2026-04-28 16:14:42"
Emirates,LHR-DXB,UAE2,"Airbus A380-800 (quad-jet)",83.4,56050.6,4125.29,6.05,59014.7,19154.7,7.48,115065,23280,5000,0,0,"2026-04-28 16:14:18"
Emirates,LHR-DXB,UAE30,"Airbus A380-800 (quad-jet)",77.9,52462.9,3453.29,6.05,59014.7,19154.7,7.25,111478,22608,5000,0,0,"2026-04-28 16:14:15"
Emirates,LHR-DXB,UAE4,"Airbus A380-800 (quad-jet)",80,52975.4,3549.29,6.05,59014.7,19154.7,7.28,111990,22704,5000,1000,0,"2026-04-28 16:14:10"
Emirates,LHR-DXB,UAE6,"Airbus A380-800 (quad-jet)",75.6,50925.2,3165.29,6.05,59014.7,19154.7,7.15,109940,22320,5000,0,0,"2026-04-28 16:14:04"
Emirates,LHR-DXB,UAE8,"Airbus A380-800 (quad-jet)",74.4,50156.4,3021.29,6.05,59014.7,19154.7,7.1,109171,22176,5000,0,0,"2026-04-28 16:13:59"
Emirates,MEL-DXB,UAE407,"Airbus A380-800 (quad-jet)",57.9,86930.6,2782.78,12.82,125005,38641.2,13.78,211935,41424,5000,0,0,"2026-04-28 16:15:49"
Emirates,SIN-DXB,UAE353,"Airbus A380-800 (quad-jet)",62.4,45138.8,1677.99,6.43,62751,20258,7.02,107890,21936,5000,0,0,"2026-04-28 16:13:52"
Emirates,SIN-DXB,UAE355,"BOEING 777-300ER (twin-jet)",56.3,26956.8,672.48,6.94,41644.7,16283.5,7.25,68601.6,16956,5000,0,0,"2026-04-28 16:13:56"
"Qatar Airways",DOH-SIN,QTR942,"Airbus A350-900 (twin-jet)",59.9,24025.7,1069.34,7.29,34653.6,15628.7,7.83,58679.3,16698,5000,0,0,"2026-04-28 16:14:53"
"Qatar Airways",DOH-SIN,QTR948,"Airbus A350-900 (twin-jet)",57.4,22277.8,607.34,7.29,34653.6,15628.7,7.6,56931.4,16236,5000,1000,0,"2026-04-28 16:14:48"
"Singapore Airlines",SIN-LHR,SIA306,"BOEING 777-300ER (twin-jet)",49.1,51008,1440.83,12.92,77521.4,29195.2,13.58,128529,30636,0,0,0,"2026-04-28 16:15:04"
"Singapore Airlines",SIN-LHR,SIA308,"Airbus A380-800 (quad-jet)",61.8,89487,4146.5,11.98,116811,36221.5,13.42,206298,40368,0,1000,0,"2026-04-28 16:15:01"
"Singapore Airlines",SIN-LHR,SIA318,"BOEING 777-300ER (twin-jet)",50.1,51008,1440.83,12.92,77521.4,29195.2,13.58,128529,30636,0,1000,0,"2026-04-28 16:14:57"
"Singapore Airlines",SIN-LHR,SIA322,"Airbus A380-800 (quad-jet)",63.2,92049.7,4626.5,11.98,116811,36221.5,13.58,208860,40848,0,0,0,"2026-04-28 16:15:12"
