route,airline,aircraft_model,cruise_speed_kmh
DOH-SIN,Qatar Airways,Airbus A321neo (twin-jet),Unknown
DOH-SIN,Qatar Airways,Boeing 777-200 (twin-jet),Unknown
SIN-LHR,Singapore Airlines,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
SIN-LHR,Singapore Airlines,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,British Airways,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
SIN-LHR,British Airways,Boeing 787-9 Dreamliner (twin-jet),Unknown
SIN-LHR,Singapore Airlines,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
SIN-LHR,Singapore Airlines,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,British Airways,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
SIN-LHR,British Airways,Boeing 787-9 Dreamliner (twin-jet),Unknown
SIN-LHR,Singapore Airlines,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
SIN-LHR,Singapore Airlines,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,British Airways,BOEING 777-300ER (twin-jet),Unknown
SIN-LHR,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
SIN-LHR,British Airways,Boeing 787-9 Dreamliner (twin-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Emirates,Airbus A350-900 (twin-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Air India,Boeing 787-8 (twin-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Emirates,Airbus A350-900 (twin-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Air India,Boeing 787-8 (twin-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Emirates,Airbus A350-900 (twin-jet),Unknown
BOM-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
BOM-DXB,Air India,Boeing 787-8 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Emirates,Airbus A350-900 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Singapore Airlines,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Cathay Pacific,Airbus A350-900 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Thai Airways,Airbus A350-900 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Emirates,BOEING 777-300ER (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Thai Airways,Airbus A350-900 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Qatar Airways,Airbus A350-1000 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A350-900 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
MEL-DXB,Singapore Airlines,Airbus A350-900 (twin-jet),Unknown
MEL-DXB,Emirates,Airbus A380-800 (quad-jet),Unknown
